name,x,y
n_10002,-77.84791581,35.80337081
n_10009,-79.13474779,35.46659808
n_10012,-79.40205478,35.32571721
n_10013,-79.31092955,35.39961725
n_10014,-81.41002994,35.72128648
n_10015,-79.08642536,35.81680057
n_10016,-79.82657488,35.36260157
n_10017,-80.98911393,35.77993184
n_10018,-81.94875116,35.64299856
n_10019,-81.95545151,35.64365464
n_10022,-82.6829994,35.25855198
n_10023,-82.53109014,35.02522105
n_10024,-82.68258726,35.25365698
n_10025,-82.42482399,34.76062051
n_10026,-82.60927702,34.87867801
n_10038,-77.31795287,35.80680597
n_10039,-77.38388511,35.79568003
n_10040,-79.88615718,34.680157
n_10041,-79.91976763,34.68445611
n_10042,-79.8928909,34.3732662
n_10043,-79.83250874,34.21576558
n_10044,-79.86124312,34.17432928
n_10045,-79.91614955,33.93443621
n_10047,-79.8944281,34.0406183
n_10051,-80.16359865,35.08941424
n_10052,-80.08504342,34.99204659
n_10053,-77.69529992,36.19135155
n_10054,-77.66068553,36.45163128
n_10058,-79.31949704,36.40812863
n_10239,-82.43436731,34.6016465
n_10240,-79.05333138,33.82660557
n_10584,-79.55210077,33.80267969
n_10707,-78.61509641,36.29678422
n_10835,-81.12169476,36.16780415
n_10836,-81.13588229,36.16552985
n_10875,-79.70760885,35.78945464
n_11709,-82.5743635,35.48808937
n_11731,-82.44809707,35.310305
n_11735,-82.33369129,34.94174258
n_11742,-81.8950779,35.34941971
n_11744,-82.215731,34.69574309
n_11747,-82.18671911,34.74700772
n_11856,-77.81898579,35.95223493
n_12162,-81.92783425,35.72199258
n_12414,-78.28855832,35.79503009
n_12417,-77.11056457,35.13666985
n_12430,-78.63231909,35.76903806
n_12432,-78.59841388,35.76448034
n_12439,-78.67830688,35.77544505
n_1258,-82.43760137,34.89026906
n_13267,-78.7643223,33.92583665
n_13300,-80.64616287,34.52332168
n_13301,-80.77127764,34.72905223
n_13431,-79.06649989,35.89742164
n_13721,-83.16695226,35.08793304
n_13841,-81.69294677,35.72013304
n_13843,-81.7473789,35.72882344
n_13956,-78.34333957,35.01048279
n_13964,-82.32344786,34.89763861
n_13988,-82.6211115,34.81984635
n_14000,-82.32369892,34.83128497
n_14001,-82.40140283,34.78463653
n_14002,-82.31405884,34.84408765
n_14003,-82.42292368,34.71731276
n_14006,-82.35948651,34.8879223
n_14015,-82.34221826,34.81610381
n_14021,-82.33233877,34.80774098
n_14027,-82.28782479,34.89744325
n_14029,-82.26194895,34.89945912
n_14030,-82.1905987,34.92714439
n_14031,-82.14270615,34.95229419
n_14032,-82.22783317,34.92186111
n_14033,-82.2410679,34.91967349
n_14034,-82.26611712,34.91229385
n_14035,-82.25337233,34.90212483
n_14045,-82.44810566,34.82011372
n_14194,-81.43747313,35.77453851
n_14258,-81.42925198,35.77070554
n_14283,-81.68316804,35.73950306
n_14301,-81.67633516,35.74197524
n_14322,-81.40717905,35.72272914
n_14366,-81.71629113,35.75107552
n_14488,-82.23490121,34.86954652
n_14492,-82.30411619,34.82020616
n_14494,-82.28903944,34.82893146
n_14496,-82.62797866,34.50649396
n_14497,-82.64503183,34.51356486
n_14502,-82.69485084,34.4497382
n_14503,-82.65838264,34.43847179
n_14504,-82.65689726,34.43604545
n_14505,-82.65893823,34.43738548
n_14508,-82.68568059,34.37432082
n_14510,-82.65096265,34.56024947
n_14521,-81.52678216,35.73716614
n_14522,-82.70379724,34.54001551
n_14523,-82.62719478,34.57997581
n_14528,-82.80324421,34.58460528
n_14549,-78.84448736,35.87092687
n_14569,-82.26920705,34.74685278
n_14570,-82.26858329,34.74860713
n_14571,-82.26828199,34.74991332
n_14573,-82.38882769,34.73747386
n_14574,-82.38246373,34.7336962
n_14575,-82.35825703,34.73595822
n_14576,-82.29092137,34.75696603
n_14577,-82.33696551,34.7062889
n_14593,-82.51628436,34.80968467
n_14626,-79.7811634,35.36742093
n_14722,-82.40489478,34.81999461
n_14783,-81.72358526,35.73170489
n_1500,-78.89605783,35.90311117
n_1506,-78.9249407,36.05676663
n_1508,-78.87988427,36.00403189
n_1514,-79.0722478,36.48093073
n_1517,-78.81266318,36.06384012
n_15226,-79.11383488,34.82922816
n_15511,-81.8133308,35.3900478
n_15512,-81.81812951,35.29242598
n_15609,-82.68517272,34.78304343
n_15622,-81.33152304,35.76641909
n_15626,-81.34143812,35.71458104
n_15628,-81.28983661,35.65396161
n_15629,-81.36556707,35.71751921
n_15630,-81.27065689,35.61108656
n_15632,-81.24099463,35.65442595
n_15641,-80.29108041,35.74591077
n_15661,-81.98358834,35.62025662
n_15662,-81.97187663,35.50981729
n_15664,-80.84994726,36.2808352
n_15666,-80.92402993,36.22978726
n_15689,-79.89379814,35.34797228
n_15690,-79.99810672,35.32511475
n_15691,-80.06224058,35.20746897
n_15692,-80.12208811,35.402745
n_1572,-79.75426424,35.94142716
n_1575,-79.65655313,35.96698936
n_15775,-80.52216459,35.21680371
n_15776,-80.51982057,35.21907288
n_15777,-80.44386981,35.25319801
n_15782,-80.56273965,34.99287758
n_15824,-81.08953228,34.3693729
n_15825,-81.13929063,34.3571036
n_15826,-81.14190762,34.35400431
n_15847,-82.0522453,34.73440347
n_1586,-78.9387763,36.01232356
n_16162,-78.94309428,36.01123771
n_16281,-81.52666777,35.86249103
n_16289,-81.83708492,35.74232119
n_16404,-77.84490664,35.05134019
n_16490,-81.67483805,35.72637319
n_16911,-78.19776074,36.48384777
n_17072,-78.33198198,35.02007655
n_17163,-78.01804582,34.62145343
n_17246,-82.49107049,34.53119555
n_1754,-78.55788263,35.9383822
n_17632,-80.83989431,35.41549194
n_17633,-80.67492443,35.53442354
n_17889,-82.60894767,34.82542099
n_17890,-82.58580033,34.83378958
n_17891,-82.62997095,34.83281208
n_17892,-82.57334412,34.83140091
n_17955,-80.70230187,34.33459319
n_17983,-82.5843827,34.8279088
n_17984,-82.58762688,34.83483307
n_17985,-82.54557521,34.83086808
n_18026,-82.60488154,34.48344905
n_18262,-81.45462493,35.07278199
n_18267,-81.4267079,35.11096097
n_18268,-81.41703385,35.11439812
n_18269,-81.42244377,35.11765342
n_18270,-81.42189993,35.15705098
n_18271,-80.88969888,34.55573901
n_18277,-80.11773586,34.71479298
n_18278,-80.04646389,34.69962098
n_18279,-80.04306395,34.70605201
n_18280,-80.08876295,34.76390896
n_18281,-80.15437563,34.39657857
n_18282,-80.03818493,34.39503099
n_18283,-80.03278587,34.38876796
