name,x,y
n_12430,-78.63231909,35.76903806
n_12432,-78.59841388,35.76448034
n_12439,-78.67830688,35.77544505
n_1754,-78.55788263,35.9383822
n_19224,-78.76688698,35.88979631
n_19230,-78.68559538,35.78808838
n_19233,-78.692485,35.80795777
n_22546,-78.7410005,35.65046032
n_22548,-78.55831901,35.761699
n_22814,-78.60302017,35.89528806
n_22815,-78.65425351,35.90973867
n_22816,-78.71765122,35.9162625
n_22817,-78.568589,35.93487028
n_22818,-78.50620622,35.7156508
n_25047,-78.59897398,35.76269968
n_25052,-78.68694572,35.78554466
n_321,-78.74528168,35.75830335
n_322,-78.7497805,35.95059856
n_323,-78.76575002,35.88927515
n_324,-78.70761734,35.81797717
n_325,-78.78983771,35.78918082
n_328,-78.68241491,35.79088146
n_333,-78.69419506,35.82903919
n_334,-78.70005725,35.87269228
n_6691,-78.55443375,35.78058521
n_6697,-78.70578161,35.64567644
n_6698,-78.74236421,35.65192212
n_6700,-78.56964105,35.73006333
n_6703,-78.57777731,35.66902623
n_7592,-78.79753667,35.986614
n_7597,-78.50456299,35.7161617
n_7599,-78.65423781,35.90865602
n_7600,-78.71695321,35.9185327
n_7601,-78.57812631,35.92464142
n_7602,-78.62385991,35.90116186
n_7607,-78.56178112,35.82827273
n_7608,-78.57112311,35.85962913
