base,qualification_pool,start_day,end_day,num_legs,duty_min,block_min,deadhead_min,overnight_station,hotel_nights,hotel_key,hotel_day,preference_penalty,expected_delay_risk,cost,risk_S0_nominal,risk_S1_weather_NE,risk_S2_weather_SE,risk_S3_ATC_MW,risk_S4_west_coast,pairing_id,pairing_type
ORD,BOTH,1,2,2,243,93,0,,0,,1,0,0.0,638.7,0.0,0.0,0.0,0.0,0.0,P00875,overnight
ORD,NB,1,2,2,248,98,0,,0,,1,0,0.0,655.7,0.0,0.0,0.0,0.0,0.0,P00891,overnight
ORD,BOTH,1,2,2,248,98,0,,0,,1,0,0.0,655.7,0.0,0.0,0.0,0.0,0.0,P00892,overnight
ATL,NB,1,2,2,249,99,0,,0,,1,0,0.0,659.1,0.0,0.0,0.0,0.0,0.0,P00815,overnight
ATL,BOTH,1,2,2,249,99,0,,0,,1,0,0.0,659.1,0.0,0.0,0.0,0.0,0.0,P00816,overnight
JFK,NB,1,2,2,264,114,0,,0,,1,0,0.0,710.1,0.0,0.0,0.0,0.0,0.0,P00939,overnight
JFK,BOTH,1,2,2,264,114,0,,0,,1,0,0.0,710.1,0.0,0.0,0.0,0.0,0.0,P00940,overnight
DFW,BOTH,1,2,2,273,123,0,,0,,1,0,0.0,740.7,0.0,0.0,0.0,0.0,0.0,P00844,overnight
ORD,NB,1,2,2,281,131,0,,0,,1,0,0.0,767.9,0.0,0.0,0.0,0.0,0.0,P00887,overnight
ORD,BOTH,1,2,2,281,131,0,,0,,1,0,0.0,767.9,0.0,0.0,0.0,0.0,0.0,P00888,overnight
JFK,RJ,1,2,2,287,137,0,,0,,1,0,0.0,788.3,0.0,0.0,0.0,0.0,0.0,P00923,overnight
JFK,BOTH,1,2,2,287,137,0,,0,,1,0,0.0,788.3,0.0,0.0,0.0,0.0,0.0,P00924,overnight
ORD,NB,1,2,2,298,148,0,,0,,1,0,0.0,825.7,0.0,0.0,0.0,0.0,0.0,P00897,overnight
ORD,BOTH,1,2,2,298,148,0,,0,,1,0,0.0,825.7,0.0,0.0,0.0,0.0,0.0,P00898,overnight
JFK,NB,1,2,2,302,152,0,,0,,1,0,0.0,839.3,0.0,0.0,0.0,0.0,0.0,P00931,overnight
JFK,BOTH,1,2,2,302,152,0,,0,,1,0,0.0,839.3,0.0,0.0,0.0,0.0,0.0,P00932,overnight
JFK,NB,1,2,2,302,152,0,,0,,1,0,0.0,839.3,0.0,0.0,0.0,0.0,0.0,P00941,overnight
JFK,BOTH,1,2,2,302,152,0,,0,,1,0,0.0,839.3,0.0,0.0,0.0,0.0,0.0,P00942,overnight
ATL,NB,1,2,2,312,162,0,,0,,1,0,0.0,873.3,0.0,0.0,0.0,0.0,0.0,P00819,overnight
ATL,BOTH,1,2,2,312,162,0,,0,,1,0,0.0,873.3,0.0,0.0,0.0,0.0,0.0,P00820,overnight
ORD,BOTH,1,2,2,333,183,0,,0,,1,0,0.0,944.7,0.0,0.0,0.0,0.0,0.0,P00884,overnight
ATL,BOTH,1,2,2,345,195,0,,0,,1,0,0.0,985.5,0.0,0.0,0.0,0.0,0.0,P00823,overnight
JFK,NB,1,2,2,378,228,0,,0,,1,0,0.0,1097.7,0.0,0.0,0.0,0.0,0.0,P00927,overnight
JFK,BOTH,1,2,2,378,228,0,,0,,1,0,0.0,1097.7,0.0,0.0,0.0,0.0,0.0,P00928,overnight
JFK,NB,1,2,2,367,124,93,,0,,1,0,0.0,1278.85,0.0,0.0,0.0,0.0,0.0,P00919,overnight
JFK,BOTH,1,2,2,367,124,93,,0,,1,0,0.0,1278.85,0.0,0.0,0.0,0.0,0.0,P00920,overnight
DFW,NB,1,2,2,449,299,0,,0,,1,0,0.0,1339.1,0.0,0.0,0.0,0.0,0.0,P00834,overnight
DFW,BOTH,1,2,2,449,299,0,,0,,1,0,0.0,1339.1,0.0,0.0,0.0,0.0,0.0,P00835,overnight
DFW,NB,1,2,2,478,328,0,,0,,1,0,0.0,1437.7,0.0,0.0,0.0,0.0,0.0,P00840,overnight
DFW,BOTH,1,2,2,478,328,0,,0,,1,0,0.0,1437.7,0.0,0.0,0.0,0.0,0.0,P00841,overnight
DFW,NB,1,2,2,527,377,0,,0,,1,0,0.0,1604.3,0.0,0.0,0.0,0.0,0.0,P00851,overnight
DFW,BOTH,1,2,2,527,377,0,,0,,1,0,0.0,1604.3,0.0,0.0,0.0,0.0,0.0,P00852,overnight
ATL,NB,1,2,2,463,196,117,,0,,1,0,0.0,1661.65,0.0,0.0,0.0,0.0,0.0,P00805,overnight
ATL,BOTH,1,2,2,463,196,117,,0,,1,0,0.0,1661.65,0.0,0.0,0.0,0.0,0.0,P00806,overnight
ORD,NB,1,2,2,571,421,0,,0,,1,0,0.0,1753.9,0.0,0.0,0.0,0.0,0.0,P00880,overnight
ORD,BOTH,1,2,2,571,421,0,,0,,1,0,0.0,1753.9,0.0,0.0,0.0,0.0,0.0,P00881,overnight
DFW,NB,1,2,2,490,199,141,,0,,1,0,0.0,1809.85,0.0,0.0,0.0,0.0,0.0,P00836,overnight
DFW,BOTH,1,2,2,490,199,141,,0,,1,0,0.0,1809.85,0.0,0.0,0.0,0.0,0.0,P00837,overnight
ORD,NB,1,2,2,525,248,127,,0,,1,0,0.0,1895.95,0.0,0.0,0.0,0.0,0.0,P00895,overnight
ORD,BOTH,1,2,2,525,248,127,,0,,1,0,0.0,1895.95,0.0,0.0,0.0,0.0,0.0,P00896,overnight
ORD,NB,1,2,2,669,392,127,,0,,1,0,0.0,2385.55,0.0,0.0,0.0,0.0,0.0,P00878,overnight
ORD,BOTH,1,2,2,669,392,127,,0,,1,0,0.0,2385.55,0.0,0.0,0.0,0.0,0.0,P00879,overnight
DFW,NB,1,2,2,697,406,141,,0,,1,0,0.0,2513.65,0.0,0.0,0.0,0.0,0.0,P00853,overnight
DFW,BOTH,1,2,2,697,406,141,,0,,1,0,0.0,2513.65,0.0,0.0,0.0,0.0,0.0,P00854,overnight
ORD,NB,1,1,1,179,59,45,,0,,0,0,0.0,2220.6,0.0,0.0,0.0,0.0,0.0,P00373,recovery_single
ORD,BOTH,1,1,1,179,59,45,,0,,0,0,0.0,2220.6,0.0,0.0,0.0,0.0,0.0,P00374,recovery_single
ORD,RJ,1,1,1,174,45,54,,0,,0,0,0.0,2224.75,0.0,0.0,0.0,0.0,0.0,P00325,recovery_single
ORD,BOTH,1,1,1,174,45,54,,0,,0,0,0.0,2224.75,0.0,0.0,0.0,0.0,0.0,P00326,recovery_single
JFK,NB,2,2,1,174,45,54,,0,,0,0,0.0,2224.75,0.0,0.0,0.0,0.0,0.0,P00695,recovery_single
JFK,BOTH,2,2,1,174,45,54,,0,,0,0,0.0,2224.75,0.0,0.0,0.0,0.0,0.0,P00696,recovery_single
JFK,NB,1,1,1,176,47,54,,0,,0,0,0.0,2231.55,0.0,0.0,0.0,0.0,0.0,P00431,recovery_single
JFK,BOTH,1,1,1,176,47,54,,0,,0,0,0.0,2231.55,0.0,0.0,0.0,0.0,0.0,P00432,recovery_single
