pairing_id,flight_id,leg_position
P00001,F001,1
P00002,F001,1
P00003,F001,1
P00004,F001,1
P00005,F001,1
P00006,F001,1
P00007,F001,1
P00008,F001,1
P00009,F002,1
P00010,F002,1
P00011,F002,1
P00012,F002,1
P00013,F002,1
P00014,F002,1
P00015,F002,1
P00016,F002,1
P00017,F003,1
P00018,F003,1
P00019,F003,1
P00020,F003,1
P00021,F003,1
P00022,F003,1
P00023,F003,1
P00024,F003,1
P00025,F004,1
P00026,F004,1
P00027,F004,1
P00028,F004,1
P00029,F004,1
P00030,F004,1
P00031,F004,1
P00032,F004,1
P00033,F005,1
P00034,F005,1
P00035,F005,1
P00036,F005,1
P00037,F005,1
P00038,F005,1
P00039,F005,1
P00040,F005,1
P00041,F006,1
P00042,F006,1
P00043,F006,1
P00044,F006,1
P00045,F006,1
P00046,F006,1
P00047,F006,1
P00048,F006,1
P00049,F007,1
P00050,F007,1
P00051,F007,1
P00052,F007,1
P00053,F007,1
P00054,F007,1
P00055,F007,1
P00056,F007,1
P00057,F008,1
P00058,F008,1
P00059,F008,1
P00060,F008,1
P00061,F008,1
P00062,F008,1
P00063,F008,1
P00064,F008,1
P00065,F009,1
P00066,F009,1
P00067,F009,1
P00068,F009,1
P00069,F009,1
P00070,F009,1
P00071,F009,1
P00072,F009,1
P00073,F010,1
P00074,F010,1
P00075,F010,1
P00076,F010,1
P00077,F010,1
P00078,F010,1
P00079,F010,1
P00080,F010,1
P00081,F011,1
P00082,F011,1
P00083,F011,1
P00084,F011,1
P00085,F011,1
P00086,F011,1
P00087,F011,1
P00088,F011,1
P00089,F012,1
P00090,F012,1
P00091,F012,1
P00092,F012,1
P00093,F012,1
P00094,F012,1
P00095,F012,1
P00096,F012,1
P00097,F013,1
P00098,F013,1
P00099,F013,1
P00100,F013,1
P00101,F013,1
P00102,F013,1
P00103,F013,1
P00104,F013,1
P00105,F014,1
P00106,F014,1
P00107,F014,1
P00108,F014,1
P00109,F014,1
P00110,F014,1
P00111,F014,1
P00112,F014,1
P00113,F015,1
P00114,F015,1
P00115,F015,1
P00116,F015,1
P00117,F015,1
P00118,F015,1
P00119,F015,1
P00120,F015,1
P00121,F016,1
P00122,F016,1
P00123,F016,1
P00124,F016,1
P00125,F016,1
P00126,F016,1
P00127,F016,1
P00128,F016,1
P00129,F017,1
P00130,F017,1
P00131,F017,1
P00132,F017,1
P00133,F017,1
P00134,F017,1
P00135,F017,1
P00136,F017,1
P00137,F018,1
P00138,F018,1
P00139,F018,1
P00140,F018,1
P00141,F018,1
P00142,F018,1
P00143,F018,1
P00144,F018,1
P00145,F019,1
P00146,F019,1
P00147,F019,1
P00148,F019,1
P00149,F019,1
P00150,F019,1
P00151,F019,1
P00152,F019,1
P00153,F020,1
P00154,F020,1
