airport,region,is_base,min_turn_min,curfew_start_min,curfew_end_min,hotel_rooms_per_night,deadhead_seat_cap_per_day
ATL,SE,1,45,-1,-1,999,10
DFW,TX,1,45,-1,-1,999,8
ORD,MW,1,45,-1,-1,999,6
JFK,NE,1,50,-1,-1,999,4
BOS,NE,0,45,-1,300,10,8
MIA,SE,0,40,-1,-1,7,12
CLT,SE,0,40,1380,-1,11,4
PHL,NE,0,45,-1,-1,9,7
DCA,NE,0,50,-1,-1,10,5
IAD,NE,0,40,1380,300,9,10
RDU,SE,0,45,-1,-1,11,7
BNA,SE,0,40,1380,300,9,8
MSY,SE,0,40,-1,-1,5,12
TPA,SE,0,45,-1,-1,7,12
MCO,SE,0,40,-1,-1,9,5
FLL,SE,0,35,1380,-1,10,10
DEN,W,0,45,-1,-1,8,9
PHX,W,0,35,1380,-1,9,8
LAS,W,0,40,-1,-1,8,9
LAX,W,0,40,-1,300,6,8
SFO,W,0,40,-1,-1,4,6
SEA,W,0,35,-1,-1,7,10
SAN,W,0,40,-1,-1,7,8
SLC,W,0,45,1380,300,4,4
MSP,MW,0,45,-1,300,11,9
DTW,MW,0,35,-1,-1,5,7
CLE,MW,0,40,-1,-1,11,4
CMH,MW,0,35,-1,-1,7,10
PIT,MW,0,40,-1,-1,6,11
STL,MW,0,40,-1,300,7,13
MCI,MW,0,40,1380,-1,10,9
AUS,TX,0,35,-1,-1,7,11
SAT,TX,0,40,-1,-1,4,10
IAH,TX,0,35,-1,300,5,8
HOU,TX,0,40,1380,300,5,9
SAV,SE,0,35,-1,-1,7,7
