origin,destination,block_min
ATL,DFW,146
ATL,ORD,115
ATL,JFK,93
ATL,BOS,101
ATL,MIA,80
ATL,CLT,90
ATL,PHL,155
ATL,DCA,172
ATL,IAD,127
ATL,RDU,57
ATL,BNA,45
ATL,MSY,79
ATL,TPA,60
ATL,MCO,67
ATL,FLL,63
ATL,DEN,282
ATL,PHX,304
ATL,LAS,287
ATL,LAX,282
ATL,SFO,266
ATL,SEA,254
ATL,SAN,276
ATL,SLC,284
ATL,MSP,151
ATL,DTW,122
ATL,CLE,137
ATL,CMH,111
ATL,PIT,98
ATL,STL,102
ATL,MCI,106
ATL,AUS,173
ATL,SAT,120
ATL,IAH,150
ATL,HOU,118
ATL,SAV,91
DFW,ATL,141
DFW,ORD,127
DFW,JFK,189
DFW,BOS,178
DFW,MIA,143
DFW,CLT,126
DFW,PHL,167
DFW,DCA,166
DFW,IAD,193
DFW,RDU,163
DFW,BNA,137
DFW,MSY,132
DFW,TPA,140
DFW,MCO,158
DFW,FLL,138
DFW,DEN,182
DFW,PHX,209
DFW,LAS,197
DFW,LAX,217
DFW,SFO,193
DFW,SEA,167
DFW,SAN,165
DFW,SLC,219
DFW,MSP,161
DFW,DTW,126
DFW,CLE,123
DFW,CMH,156
DFW,PIT,110
DFW,STL,113
DFW,MCI,141
DFW,AUS,52
DFW,SAT,59
DFW,IAH,57
DFW,HOU,66
DFW,SAV,160
ORD,ATL,121
ORD,DFW,141
ORD,JFK,88
ORD,BOS,124
ORD,MIA,104
ORD,CLT,98
ORD,PHL,109
ORD,DCA,118
ORD,IAD,141
ORD,RDU,96
ORD,BNA,120
ORD,MSY,111
ORD,TPA,114
ORD,MCO,138
ORD,FLL,129
ORD,DEN,249
ORD,PHX,222
ORD,LAS,212
ORD,LAX,220
ORD,SFO,229
ORD,SEA,228
ORD,SAN,205
ORD,SLC,226
ORD,MSP,74
ORD,DTW,115
ORD,CLE,103
ORD,CMH,54
ORD,PIT,64
ORD,STL,45
ORD,MCI,59
ORD,AUS,135
ORD,SAT,151
ORD,IAH,116
ORD,HOU,118
ORD,SAV,81
JFK,ATL,117
JFK,DFW,170
JFK,ORD,115
JFK,BOS,54
JFK,MIA,118
JFK,CLT,88
JFK,PHL,45
JFK,DCA,108
JFK,IAD,46
JFK,RDU,100
JFK,BNA,153
JFK,MSY,172
JFK,TPA,98
JFK,MCO,113
JFK,FLL,126
JFK,DEN,361
JFK,PHX,312
JFK,LAS,325
JFK,LAX,343
JFK,SFO,337
JFK,SEA,323
JFK,SAN,327
JFK,SLC,305
JFK,MSP,120
JFK,DTW,120
JFK,CLE,129
JFK,CMH,115
JFK,PIT,133
JFK,STL,143
JFK,MCI,127
JFK,AUS,196
JFK,SAT,190
JFK,IAH,190
JFK,HOU,177
JFK,SAV,125
BOS,ATL,118
BOS,DFW,227
BOS,ORD,153
BOS,JFK,76
BOS,MIA,106
BOS,CLT,99
BOS,PHL,91
BOS,DCA,74
BOS,IAD,78
BOS,RDU,88
BOS,BNA,136
BOS,MSY,128
BOS,TPA,100
BOS,MCO,111
BOS,FLL,124
BOS,DEN,330
BOS,PHX,324
BOS,LAS,328
BOS,LAX,325
BOS,SFO,332
BOS,SEA,356
BOS,SAN,283
BOS,SLC,325
BOS,MSP,128
BOS,DTW,130
BOS,CLE,118
BOS,CMH,93
BOS,PIT,130
BOS,STL,156
BOS,MCI,97
BOS,AUS,205
BOS,SAT,184
BOS,IAH,188
BOS,HOU,171
BOS,SAV,113
MIA,ATL,98
MIA,DFW,145
MIA,ORD,151
