crew_id,base,qualification,seniority_years,max_duty_min,prefers_day_trips,max_pairings_horizon
C001,ATL,BOTH,8,660,0,1
C002,ATL,NB,15,660,1,1
C003,ATL,BOTH,1,660,1,1
C004,ATL,NB,2,720,0,1
C005,ATL,NB,4,660,1,1
C006,ATL,NB,15,720,1,2
C007,ATL,NB,20,600,1,2
C008,ATL,BOTH,24,660,1,1
C009,ATL,NB,8,720,1,1
C010,ATL,NB,5,600,0,1
C011,ATL,RJ,12,720,0,2
C012,ATL,NB,3,660,1,1
C013,ATL,NB,21,660,1,1
C014,ATL,NB,2,660,0,1
C015,ATL,NB,18,720,1,1
C016,ATL,BOTH,14,660,0,2
C017,ATL,NB,18,660,0,1
C018,ATL,NB,11,660,1,1
C019,ATL,NB,3,720,0,1
C020,ATL,RJ,19,720,0,1
C021,ATL,NB,18,720,0,1
C022,ATL,NB,6,660,0,1
C023,ATL,NB,13,720,1,1
C024,ATL,BOTH,23,660,1,1
C025,ATL,NB,18,660,1,1
C026,ATL,RJ,1,720,0,1
C027,ATL,NB,22,660,1,1
C028,ATL,RJ,11,720,0,1
C029,ATL,NB,1,660,1,1
C030,ATL,BOTH,5,660,0,1
C031,ATL,NB,1,600,1,2
C032,ATL,NB,11,600,1,1
C033,ATL,RJ,4,720,1,1
C034,ATL,RJ,10,720,1,1
C035,DFW,NB,9,600,0,1
C036,DFW,RJ,5,600,0,2
C037,DFW,NB,8,600,0,1
C038,DFW,NB,1,660,0,1
C039,DFW,NB,23,600,0,1
C040,DFW,NB,25,720,0,1
C041,DFW,NB,21,660,1,1
C042,DFW,NB,11,660,1,1
C043,DFW,NB,21,660,1,1
C044,DFW,BOTH,22,660,1,1
C045,DFW,NB,8,720,1,1
C046,DFW,NB,20,660,0,1
C047,DFW,NB,8,720,1,1
C048,DFW,NB,15,660,1,2
C049,DFW,RJ,12,720,1,1
C050,DFW,NB,23,660,0,1
C051,DFW,BOTH,13,660,1,1
C052,DFW,NB,11,660,1,2
C053,DFW,NB,3,720,1,2
C054,DFW,RJ,5,600,0,1
C055,DFW,RJ,2,660,1,1
C056,DFW,RJ,21,720,1,1
C057,DFW,NB,17,720,1,1
C058,DFW,NB,19,660,1,1
C059,DFW,NB,22,660,0,1
C060,DFW,RJ,15,720,0,1
C061,DFW,RJ,20,660,1,2
C062,DFW,RJ,3,600,1,1
C063,DFW,RJ,23,660,1,1
C064,DFW,NB,21,720,0,1
C065,DFW,NB,9,600,1,1
C066,ORD,BOTH,2,660,1,1
C067,ORD,NB,1,660,0,2
C068,ORD,NB,21,660,0,1
C069,ORD,NB,25,720,1,1
C070,ORD,NB,24,720,1,1
C071,ORD,RJ,20,720,1,1
C072,ORD,BOTH,24,720,1,1
C073,ORD,NB,18,600,1,1
C074,ORD,BOTH,11,600,1,1
C075,ORD,NB,9,660,1,1
C076,ORD,BOTH,5,600,0,2
C077,ORD,BOTH,7,660,0,1
C078,ORD,NB,16,720,1,2
C079,ORD,NB,9,660,1,1
C080,ORD,NB,1,660,1,1
C081,ORD,BOTH,12,660,1,1
C082,ORD,NB,5,660,0,1
C083,ORD,RJ,25,660,1,1
C084,ORD,RJ,1,660,0,1
C085,ORD,RJ,9,600,1,1
C086,ORD,BOTH,10,600,1,1
C087,ORD,BOTH,10,660,0,2
C088,ORD,NB,14,720,1,2
C089,ORD,NB,19,600,1,1
C090,ORD,NB,5,660,1,1
C091,ORD,BOTH,20,600,1,2
C092,ORD,NB,17,660,0,2
C093,ORD,NB,21,660,0,1
C094,ORD,NB,17,660,1,1
C095,ORD,NB,8,720,1,1
C096,JFK,NB,23,660,1,2
C097,JFK,BOTH,23,720,0,1
C098,JFK,BOTH,23,660,1,1
C099,JFK,NB,2,660,1,1
C100,JFK,BOTH,8,660,1,1
C101,JFK,NB,16,720,1,1
C102,JFK,RJ,6,660,0,1
C103,JFK,BOTH,9,720,0,2
C104,JFK,BOTH,19,660,0,1
C105,JFK,NB,23,660,1,1
C106,JFK,NB,24,720,1,1
C107,JFK,NB,5,720,0,1
C108,JFK,NB,13,660,1,1
C109,JFK,NB,13,660,1,1
C110,JFK,BOTH,12,660,1,2
C111,JFK,BOTH,7,660,1,1
C112,JFK,NB,4,660,1,1
C113,JFK,BOTH,10,720,0,2
C114,JFK,NB,10,720,1,1
C115,JFK,BOTH,22,660,1,2
C116,JFK,RJ,18,660,0,1
C117,JFK,NB,14,720,1,1
C118,JFK,NB,17,720,1,1
C119,JFK,BOTH,11,660,1,2
C120,JFK,NB,1,660,1,1
C121,JFK,BOTH,8,660,0,1
C122,JFK,NB,4,660,1,1
C123,JFK,NB,20,660,0,1
C124,JFK,NB,5,720,1,1
C125,JFK,NB,12,660,1,1
