scenario,probability,flight_id,arrival_delay_min
S0_nominal,0.55,F001,17
S0_nominal,0.55,F002,18
S0_nominal,0.55,F003,0
S0_nominal,0.55,F004,0
S0_nominal,0.55,F005,1
S0_nominal,0.55,F006,18
S0_nominal,0.55,F007,1
S0_nominal,0.55,F008,0
S0_nominal,0.55,F009,0
S0_nominal,0.55,F010,29
S0_nominal,0.55,F011,17
S0_nominal,0.55,F012,17
S0_nominal,0.55,F013,19
S0_nominal,0.55,F014,14
S0_nominal,0.55,F015,5
S0_nominal,0.55,F016,6
S0_nominal,0.55,F017,2
S0_nominal,0.55,F018,39
S0_nominal,0.55,F019,14
S0_nominal,0.55,F020,2
S0_nominal,0.55,F021,13
S0_nominal,0.55,F022,0
S0_nominal,0.55,F023,26
S0_nominal,0.55,F024,0
S0_nominal,0.55,F025,14
S0_nominal,0.55,F026,20
S0_nominal,0.55,F027,12
S0_nominal,0.55,F028,9
S0_nominal,0.55,F029,8
S0_nominal,0.55,F030,7
S0_nominal,0.55,F031,1
S0_nominal,0.55,F032,2
S0_nominal,0.55,F033,25
S0_nominal,0.55,F034,6
S0_nominal,0.55,F035,0
S0_nominal,0.55,F036,1
S0_nominal,0.55,F037,21
S0_nominal,0.55,F038,16
S0_nominal,0.55,F039,14
S0_nominal,0.55,F040,4
S0_nominal,0.55,F041,14
S0_nominal,0.55,F042,0
S0_nominal,0.55,F043,4
S0_nominal,0.55,F044,19
S0_nominal,0.55,F045,18
S0_nominal,0.55,F046,0
S0_nominal,0.55,F047,0
S0_nominal,0.55,F048,9
S0_nominal,0.55,F049,28
S0_nominal,0.55,F050,0
S0_nominal,0.55,F051,11
S0_nominal,0.55,F052,0
S0_nominal,0.55,F053,0
S0_nominal,0.55,F054,3
S0_nominal,0.55,F055,2
S0_nominal,0.55,F056,1
S0_nominal,0.55,F057,8
S0_nominal,0.55,F058,1
S0_nominal,0.55,F059,0
S0_nominal,0.55,F060,17
S0_nominal,0.55,F061,17
S0_nominal,0.55,F062,18
S0_nominal,0.55,F063,0
S0_nominal,0.55,F064,11
S0_nominal,0.55,F065,16
S0_nominal,0.55,F066,0
S0_nominal,0.55,F067,8
S0_nominal,0.55,F068,6
S0_nominal,0.55,F069,30
S0_nominal,0.55,F070,31
S0_nominal,0.55,F071,0
S0_nominal,0.55,F072,37
S0_nominal,0.55,F073,0
S0_nominal,0.55,F074,19
S0_nominal,0.55,F075,19
S0_nominal,0.55,F076,0
S0_nominal,0.55,F077,13
S0_nominal,0.55,F078,6
S0_nominal,0.55,F079,14
S0_nominal,0.55,F080,10
S0_nominal,0.55,F081,22
S0_nominal,0.55,F082,8
S0_nominal,0.55,F083,5
S0_nominal,0.55,F084,21
S0_nominal,0.55,F085,14
S0_nominal,0.55,F086,16
S0_nominal,0.55,F087,0
S0_nominal,0.55,F088,0
S0_nominal,0.55,F089,1
S0_nominal,0.55,F090,0
S0_nominal,0.55,F091,17
S0_nominal,0.55,F092,19
S0_nominal,0.55,F093,6
S0_nominal,0.55,F094,25
S0_nominal,0.55,F095,24
S0_nominal,0.55,F096,10
S0_nominal,0.55,F097,0
S0_nominal,0.55,F098,26
S0_nominal,0.55,F099,7
S0_nominal,0.55,F100,9
S1_weather_NE,0.16,F001,3
S1_weather_NE,0.16,F002,0
S1_weather_NE,0.16,F003,0
S1_weather_NE,0.16,F004,15
S1_weather_NE,0.16,F005,55
S1_weather_NE,0.16,F006,44
S1_weather_NE,0.16,F007,0
S1_weather_NE,0.16,F008,0
S1_weather_NE,0.16,F009,14
S1_weather_NE,0.16,F010,26
S1_weather_NE,0.16,F011,8
S1_weather_NE,0.16,F012,14
S1_weather_NE,0.16,F013,0
S1_weather_NE,0.16,F014,0
S1_weather_NE,0.16,F015,52
S1_weather_NE,0.16,F016,42
S1_weather_NE,0.16,F017,9
S1_weather_NE,0.16,F018,0
S1_weather_NE,0.16,F019,0
S1_weather_NE,0.16,F020,58
S1_weather_NE,0.16,F021,0
S1_weather_NE,0.16,F022,12
S1_weather_NE,0.16,F023,11
S1_weather_NE,0.16,F024,18
S1_weather_NE,0.16,F025,74
S1_weather_NE,0.16,F026,21
S1_weather_NE,0.16,F027,7
S1_weather_NE,0.16,F028,11
S1_weather_NE,0.16,F029,14
S1_weather_NE,0.16,F030,9
S1_weather_NE,0.16,F031,3
S1_weather_NE,0.16,F032,4
S1_weather_NE,0.16,F033,0
S1_weather_NE,0.16,F034,13
S1_weather_NE,0.16,F035,63
S1_weather_NE,0.16,F036,0
S1_weather_NE,0.16,F037,57
S1_weather_NE,0.16,F038,0
S1_weather_NE,0.16,F039,19
S1_weather_NE,0.16,F040,65
S1_weather_NE,0.16,F041,0
S1_weather_NE,0.16,F042,17
S1_weather_NE,0.16,F043,1
S1_weather_NE,0.16,F044,48
S1_weather_NE,0.16,F045,20
S1_weather_NE,0.16,F046,1
S1_weather_NE,0.16,F047,3
S1_weather_NE,0.16,F048,8
S1_weather_NE,0.16,F049,21
S1_weather_NE,0.16,F050,8
S1_weather_NE,0.16,F051,0
S1_weather_NE,0.16,F052,14
S1_weather_NE,0.16,F053,2
S1_weather_NE,0.16,F054,87
S1_weather_NE,0.16,F055,7
S1_weather_NE,0.16,F056,38
S1_weather_NE,0.16,F057,12
S1_weather_NE,0.16,F058,31
S1_weather_NE,0.16,F059,26
S1_weather_NE,0.16,F060,29
S1_weather_NE,0.16,F061,0
S1_weather_NE,0.16,F062,18
S1_weather_NE,0.16,F063,0
S1_weather_NE,0.16,F064,10
S1_weather_NE,0.16,F065,0
S1_weather_NE,0.16,F066,0
S1_weather_NE,0.16,F067,0
S1_weather_NE,0.16,F068,18
S1_weather_NE,0.16,F069,17
S1_weather_NE,0.16,F070,11
S1_weather_NE,0.16,F071,0
S1_weather_NE,0.16,F072,4
S1_weather_NE,0.16,F073,56
S1_weather_NE,0.16,F074,18
S1_weather_NE,0.16,F075,22
S1_weather_NE,0.16,F076,20
S1_weather_NE,0.16,F077,55
S1_weather_NE,0.16,F078,0
S1_weather_NE,0.16,F079,0
S1_weather_NE,0.16,F080,25
S1_weather_NE,0.16,F081,3
S1_weather_NE,0.16,F082,55
S1_weather_NE,0.16,F083,27
S1_weather_NE,0.16,F084,23
S1_weather_NE,0.16,F085,8
S1_weather_NE,0.16,F086,4
S1_weather_NE,0.16,F087,63
S1_weather_NE,0.16,F088,67
S1_weather_NE,0.16,F089,27
S1_weather_NE,0.16,F090,70
S1_weather_NE,0.16,F091,16
S1_weather_NE,0.16,F092,22
S1_weather_NE,0.16,F093,0
S1_weather_NE,0.16,F094,17
S1_weather_NE,0.16,F095,4
S1_weather_NE,0.16,F096,0
S1_weather_NE,0.16,F097,39
S1_weather_NE,0.16,F098,0
S1_weather_NE,0.16,F099,14
S1_weather_NE,0.16,F100,66
S2_weather_SE,0.13,F001,57
S2_weather_SE,0.13,F002,78
S2_weather_SE,0.13,F003,39
S2_weather_SE,0.13,F004,54
S2_weather_SE,0.13,F005,11
S2_weather_SE,0.13,F006,0
S2_weather_SE,0.13,F007,8
S2_weather_SE,0.13,F008,35
S2_weather_SE,0.13,F009,24
S2_weather_SE,0.13,F010,46
S2_weather_SE,0.13,F011,32
S2_weather_SE,0.13,F012,54
S2_weather_SE,0.13,F013,67
S2_weather_SE,0.13,F014,54
S2_weather_SE,0.13,F015,7
S2_weather_SE,0.13,F016,0
S2_weather_SE,0.13,F017,56
S2_weather_SE,0.13,F018,11
S2_weather_SE,0.13,F019,0
S2_weather_SE,0.13,F020,6
S2_weather_SE,0.13,F021,47
S2_weather_SE,0.13,F022,35
S2_weather_SE,0.13,F023,6
S2_weather_SE,0.13,F024,73
S2_weather_SE,0.13,F025,5
S2_weather_SE,0.13,F026,58
S2_weather_SE,0.13,F027,0
S2_weather_SE,0.13,F028,2
S2_weather_SE,0.13,F029,57
S2_weather_SE,0.13,F030,27
S2_weather_SE,0.13,F031,57
S2_weather_SE,0.13,F032,71
S2_weather_SE,0.13,F033,15
S2_weather_SE,0.13,F034,27
S2_weather_SE,0.13,F035,7
S2_weather_SE,0.13,F036,36
S2_weather_SE,0.13,F037,2
S2_weather_SE,0.13,F038,45
S2_weather_SE,0.13,F039,0
S2_weather_SE,0.13,F040,35
S2_weather_SE,0.13,F041,17
S2_weather_SE,0.13,F042,3
S2_weather_SE,0.13,F043,69
S2_weather_SE,0.13,F044,16
S2_weather_SE,0.13,F045,31
S2_weather_SE,0.13,F046,0
S2_weather_SE,0.13,F047,4
S2_weather_SE,0.13,F048,2
S2_weather_SE,0.13,F049,0
S2_weather_SE,0.13,F050,20
S2_weather_SE,0.13,F051,4
S2_weather_SE,0.13,F052,63
S2_weather_SE,0.13,F053,36
S2_weather_SE,0.13,F054,3
S2_weather_SE,0.13,F055,2
S2_weather_SE,0.13,F056,9
S2_weather_SE,0.13,F057,19
S2_weather_SE,0.13,F058,1
S2_weather_SE,0.13,F059,0
S2_weather_SE,0.13,F060,20
S2_weather_SE,0.13,F061,59
S2_weather_SE,0.13,F062,0
S2_weather_SE,0.13,F063,0
S2_weather_SE,0.13,F064,26
S2_weather_SE,0.13,F065,12
S2_weather_SE,0.13,F066,0
S2_weather_SE,0.13,F067,52
S2_weather_SE,0.13,F068,8
S2_weather_SE,0.13,F069,16
S2_weather_SE,0.13,F070,0
S2_weather_SE,0.13,F071,0
S2_weather_SE,0.13,F072,11
S2_weather_SE,0.13,F073,6
S2_weather_SE,0.13,F074,14
S2_weather_SE,0.13,F075,40
S2_weather_SE,0.13,F076,12
S2_weather_SE,0.13,F077,21
S2_weather_SE,0.13,F078,60
S2_weather_SE,0.13,F079,56
S2_weather_SE,0.13,F080,53
S2_weather_SE,0.13,F081,0
S2_weather_SE,0.13,F082,7
S2_weather_SE,0.13,F083,23
S2_weather_SE,0.13,F084,6
S2_weather_SE,0.13,F085,0
S2_weather_SE,0.13,F086,2
S2_weather_SE,0.13,F087,10
S2_weather_SE,0.13,F088,3
S2_weather_SE,0.13,F089,13
S2_weather_SE,0.13,F090,14
S2_weather_SE,0.13,F091,18
S2_weather_SE,0.13,F092,25
S2_weather_SE,0.13,F093,19
S2_weather_SE,0.13,F094,0
S2_weather_SE,0.13,F095,44
S2_weather_SE,0.13,F096,54
S2_weather_SE,0.13,F097,2
S2_weather_SE,0.13,F098,0
S2_weather_SE,0.13,F099,2
S2_weather_SE,0.13,F100,2
S3_ATC_MW,0.09,F001,0
S3_ATC_MW,0.09,F002,4
S3_ATC_MW,0.09,F003,22
S3_ATC_MW,0.09,F004,10
S3_ATC_MW,0.09,F005,37
S3_ATC_MW,0.09,F006,52
S3_ATC_MW,0.09,F007,46
S3_ATC_MW,0.09,F008,8
S3_ATC_MW,0.09,F009,53
S3_ATC_MW,0.09,F010,13
S3_ATC_MW,0.09,F011,32
S3_ATC_MW,0.09,F012,0
S3_ATC_MW,0.09,F013,18
S3_ATC_MW,0.09,F014,10
S3_ATC_MW,0.09,F015,0
S3_ATC_MW,0.09,F016,17
S3_ATC_MW,0.09,F017,23
S3_ATC_MW,0.09,F018,39
S3_ATC_MW,0.09,F019,49
S3_ATC_MW,0.09,F020,0
S3_ATC_MW,0.09,F021,0
S3_ATC_MW,0.09,F022,20
S3_ATC_MW,0.09,F023,2
S3_ATC_MW,0.09,F024,0
S3_ATC_MW,0.09,F025,10
S3_ATC_MW,0.09,F026,1
S3_ATC_MW,0.09,F027,44
S3_ATC_MW,0.09,F028,16
S3_ATC_MW,0.09,F029,0
S3_ATC_MW,0.09,F030,0
S3_ATC_MW,0.09,F031,9
S3_ATC_MW,0.09,F032,19
S3_ATC_MW,0.09,F033,64
S3_ATC_MW,0.09,F034,0
S3_ATC_MW,0.09,F035,19
S3_ATC_MW,0.09,F036,0
S3_ATC_MW,0.09,F037,29
S3_ATC_MW,0.09,F038,0
S3_ATC_MW,0.09,F039,23
S3_ATC_MW,0.09,F040,0
S3_ATC_MW,0.09,F041,74
S3_ATC_MW,0.09,F042,57
S3_ATC_MW,0.09,F043,0
S3_ATC_MW,0.09,F044,1
S3_ATC_MW,0.09,F045,17
S3_ATC_MW,0.09,F046,62
S3_ATC_MW,0.09,F047,49
S3_ATC_MW,0.09,F048,50
S3_ATC_MW,0.09,F049,17
S3_ATC_MW,0.09,F050,51
S3_ATC_MW,0.09,F051,0
S3_ATC_MW,0.09,F052,0
S3_ATC_MW,0.09,F053,10
S3_ATC_MW,0.09,F054,22
S3_ATC_MW,0.09,F055,69
S3_ATC_MW,0.09,F056,17
S3_ATC_MW,0.09,F057,53
S3_ATC_MW,0.09,F058,16
S3_ATC_MW,0.09,F059,0
S3_ATC_MW,0.09,F060,6
S3_ATC_MW,0.09,F061,0
S3_ATC_MW,0.09,F062,35
S3_ATC_MW,0.09,F063,12
S3_ATC_MW,0.09,F064,10
S3_ATC_MW,0.09,F065,16
S3_ATC_MW,0.09,F066,56
S3_ATC_MW,0.09,F067,10
S3_ATC_MW,0.09,F068,14
S3_ATC_MW,0.09,F069,49
S3_ATC_MW,0.09,F070,54
S3_ATC_MW,0.09,F071,41
S3_ATC_MW,0.09,F072,12
S3_ATC_MW,0.09,F073,16
S3_ATC_MW,0.09,F074,0
S3_ATC_MW,0.09,F075,8
S3_ATC_MW,0.09,F076,42
S3_ATC_MW,0.09,F077,1
S3_ATC_MW,0.09,F078,0
S3_ATC_MW,0.09,F079,23
S3_ATC_MW,0.09,F080,20
S3_ATC_MW,0.09,F081,56
S3_ATC_MW,0.09,F082,31
S3_ATC_MW,0.09,F083,47
S3_ATC_MW,0.09,F084,86
S3_ATC_MW,0.09,F085,47
S3_ATC_MW,0.09,F086,11
S3_ATC_MW,0.09,F087,3
S3_ATC_MW,0.09,F088,12
S3_ATC_MW,0.09,F089,60
S3_ATC_MW,0.09,F090,6
S3_ATC_MW,0.09,F091,71
S3_ATC_MW,0.09,F092,10
S3_ATC_MW,0.09,F093,53
S3_ATC_MW,0.09,F094,39
S3_ATC_MW,0.09,F095,13
S3_ATC_MW,0.09,F096,6
S3_ATC_MW,0.09,F097,0
S3_ATC_MW,0.09,F098,0
S3_ATC_MW,0.09,F099,40
S3_ATC_MW,0.09,F100,4
S4_west_coast,0.07,F001,0
S4_west_coast,0.07,F002,0
S4_west_coast,0.07,F003,7
S4_west_coast,0.07,F004,14
S4_west_coast,0.07,F005,14
S4_west_coast,0.07,F006,16
S4_west_coast,0.07,F007,0
S4_west_coast,0.07,F008,12
S4_west_coast,0.07,F009,0
S4_west_coast,0.07,F010,0
S4_west_coast,0.07,F011,58
S4_west_coast,0.07,F012,0
S4_west_coast,0.07,F013,20
S4_west_coast,0.07,F014,16
S4_west_coast,0.07,F015,19
S4_west_coast,0.07,F016,8
S4_west_coast,0.07,F017,17
S4_west_coast,0.07,F018,0
S4_west_coast,0.07,F019,18
S4_west_coast,0.07,F020,10
S4_west_coast,0.07,F021,15
S4_west_coast,0.07,F022,74
S4_west_coast,0.07,F023,0
S4_west_coast,0.07,F024,0
S4_west_coast,0.07,F025,0
S4_west_coast,0.07,F026,14
S4_west_coast,0.07,F027,16
S4_west_coast,0.07,F028,0
S4_west_coast,0.07,F029,0
S4_west_coast,0.07,F030,0
S4_west_coast,0.07,F031,3
S4_west_coast,0.07,F032,0
S4_west_coast,0.07,F033,0
S4_west_coast,0.07,F034,0
S4_west_coast,0.07,F035,9
S4_west_coast,0.07,F036,55
S4_west_coast,0.07,F037,6
S4_west_coast,0.07,F038,20
S4_west_coast,0.07,F039,0
S4_west_coast,0.07,F040,5
S4_west_coast,0.07,F041,20
S4_west_coast,0.07,F042,2
S4_west_coast,0.07,F043,1
S4_west_coast,0.07,F044,21
S4_west_coast,0.07,F045,4
S4_west_coast,0.07,F046,21
S4_west_coast,0.07,F047,13
S4_west_coast,0.07,F048,3
S4_west_coast,0.07,F049,75
S4_west_coast,0.07,F050,11
S4_west_coast,0.07,F051,20
S4_west_coast,0.07,F052,1
S4_west_coast,0.07,F053,8
S4_west_coast,0.07,F054,7
S4_west_coast,0.07,F055,16
S4_west_coast,0.07,F056,0
S4_west_coast,0.07,F057,20
S4_west_coast,0.07,F058,13
S4_west_coast,0.07,F059,0
S4_west_coast,0.07,F060,22
S4_west_coast,0.07,F061,34
S4_west_coast,0.07,F062,20
S4_west_coast,0.07,F063,25
S4_west_coast,0.07,F064,71
S4_west_coast,0.07,F065,50
S4_west_coast,0.07,F066,0
S4_west_coast,0.07,F067,11
S4_west_coast,0.07,F068,0
S4_west_coast,0.07,F069,0
S4_west_coast,0.07,F070,7
S4_west_coast,0.07,F071,15
S4_west_coast,0.07,F072,52
S4_west_coast,0.07,F073,2
S4_west_coast,0.07,F074,26
S4_west_coast,0.07,F075,0
S4_west_coast,0.07,F076,18
S4_west_coast,0.07,F077,2
S4_west_coast,0.07,F078,14
S4_west_coast,0.07,F079,21
S4_west_coast,0.07,F080,16
S4_west_coast,0.07,F081,18
S4_west_coast,0.07,F082,0
S4_west_coast,0.07,F083,21
S4_west_coast,0.07,F084,0
S4_west_coast,0.07,F085,11
S4_west_coast,0.07,F086,11
S4_west_coast,0.07,F087,13
S4_west_coast,0.07,F088,12
S4_west_coast,0.07,F089,0
S4_west_coast,0.07,F090,0
S4_west_coast,0.07,F091,18
S4_west_coast,0.07,F092,10
S4_west_coast,0.07,F093,21
S4_west_coast,0.07,F094,7
S4_west_coast,0.07,F095,0
S4_west_coast,0.07,F096,19
S4_west_coast,0.07,F097,3
S4_west_coast,0.07,F098,12
S4_west_coast,0.07,F099,0
S4_west_coast,0.07,F100,27
