flight_id,day,origin,destination,departure_min,arrival_min,departure_time,arrival_time,block_min,equipment,qual_required,priority,demand_weight
F001,1,ATL,CLT,341,424,D1 05:41,D1 07:04,83,A320,NB,3,1.22
F002,1,JFK,FLL,367,444,D1 06:07,D1 07:24,77,A320,NB,2,1.64
F003,1,ATL,RDU,401,470,D1 06:41,D1 07:50,69,A320,NB,2,0.83
F004,1,ATL,MCO,405,520,D1 06:45,D1 08:40,115,E175,RJ,3,1.05
F005,1,JFK,DCA,408,460,D1 06:48,D1 07:40,52,E175,RJ,2,1.37
F006,1,ORD,PIT,418,486,D1 06:58,D1 08:06,68,A320,NB,2,1.27
F007,1,ORD,DTW,428,473,D1 07:08,D1 07:53,45,E175,RJ,2,1.55
F008,1,JFK,CLT,428,543,D1 07:08,D1 09:03,115,A320,NB,2,1.73
F009,1,DFW,MCI,439,574,D1 07:19,D1 09:34,135,A320,NB,1,1.17
F010,1,ATL,BNA,484,558,D1 08:04,D1 09:18,74,B737,NB,3,1.64
F011,1,ORD,DEN,503,707,D1 08:23,D1 11:47,204,B737,NB,2,1.12
F012,1,ATL,FLL,504,556,D1 08:24,D1 09:16,52,A320,NB,2,1.31
F013,1,CLT,ATL,524,632,D1 08:44,D1 10:32,108,A320,NB,3,1.22
F014,1,RDU,ATL,530,601,D1 08:50,D1 10:01,71,A320,NB,3,0.83
F015,1,DCA,JFK,541,586,D1 09:01,D1 09:46,45,E175,RJ,3,1.37
F016,1,FLL,JFK,544,692,D1 09:04,D1 11:32,148,A320,NB,2,1.64
F017,1,MCO,ATL,570,662,D1 09:30,D1 11:02,92,E175,RJ,2,1.05
F018,1,DTW,ORD,582,647,D1 09:42,D1 10:47,65,E175,RJ,1,1.55
F019,1,PIT,ORD,584,649,D1 09:44,D1 10:49,65,A320,NB,2,1.27
F020,1,JFK,IAD,587,662,D1 09:47,D1 11:02,75,A320,NB,3,1.48
F021,1,ATL,TPA,588,688,D1 09:48,D1 11:28,100,B737,NB,3,0.87
F022,1,DFW,LAS,595,747,D1 09:55,D1 12:27,152,A320,NB,1,0.93
F023,1,DFW,IAH,600,645,D1 10:00,D1 10:45,45,A320,NB,3,1.35
F024,1,JFK,RDU,601,695,D1 10:01,D1 11:35,94,A320,NB,3,1.56
F025,1,CLT,JFK,605,724,D1 10:05,D1 12:04,119,A320,NB,2,1.73
F026,1,ATL,SAV,607,723,D1 10:07,D1 12:03,116,E175,RJ,1,1.17
F027,1,ORD,CMH,612,695,D1 10:12,D1 11:35,83,E175,RJ,3,1.65
F028,1,DFW,SAT,615,661,D1 10:15,D1 11:01,46,B737,NB,2,1.57
F029,1,JFK,MIA,618,743,D1 10:18,D1 12:23,125,B737,NB,2,1.54
F030,1,MCI,DFW,630,745,D1 10:30,D1 12:25,115,A320,NB,2,1.17
F031,1,FLL,ATL,634,697,D1 10:34,D1 11:37,63,A320,NB,2,1.31
F032,1,BNA,ATL,654,721,D1 10:54,D1 12:01,67,B737,NB,2,1.64
F033,1,ORD,STL,710,766,D1 11:50,D1 12:46,56,A320,NB,2,1.6
F034,1,IAH,DFW,728,789,D1 12:08,D1 13:09,61,A320,NB,3,1.35
F035,1,IAD,JFK,733,807,D1 12:13,D1 13:27,74,A320,NB,1,1.48
F036,1,DFW,PHX,733,935,D1 12:13,D1 15:35,202,A320,NB,2,1.03
F037,1,JFK,BOS,734,803,D1 12:14,D1 13:23,69,A320,NB,3,1.29
F038,1,TPA,ATL,745,803,D1 12:25,D1 13:23,58,B737,NB,2,0.87
F039,1,SAT,DFW,749,794,D1 12:29,D1 13:14,45,B737,NB,3,1.57
F040,1,RDU,JFK,751,895,D1 12:31,D1 14:55,144,A320,NB,3,1.56
F041,1,CMH,ORD,754,799,D1 12:34,D1 13:19,45,E175,RJ,2,1.65
F042,1,DEN,ORD,769,996,D1 12:49,D1 16:36,227,B737,NB,3,1.12
F043,1,SAV,ATL,771,873,D1 12:51,D1 14:33,102,E175,RJ,3,1.17
F044,1,MIA,JFK,804,934,D1 13:24,D1 15:34,130,B737,NB,3,1.54
F045,1,LAS,DFW,817,1006,D1 13:37,D1 16:46,189,A320,NB,2,0.93
F046,1,ORD,CLE,820,865,D1 13:40,D1 14:25,45,B737,NB,3,1.26
F047,1,STL,ORD,823,882,D1 13:43,D1 14:42,59,A320,NB,2,1.6
F048,1,ORD,MCI,827,911,D1 13:47,D1 15:11,84,A320,NB,3,1.41
F049,1,DFW,DEN,831,1020,D1 13:51,D1 17:00,189,B737,NB,2,0.68
F050,1,ORD,MSP,833,878,D1 13:53,D1 14:38,45,E175,RJ,2,1.2
F051,1,DFW,AUS,849,901,D1 14:09,D1 15:01,52,E175,RJ,2,1.36
F052,1,ATL,MIA,852,910,D1 14:12,D1 15:10,58,B737,NB,2,1.22
F053,1,DFW,HOU,852,949,D1 14:12,D1 15:49,97,A320,NB,2,0.84
F054,1,BOS,JFK,895,942,D1 14:55,D1 15:42,47,A320,NB,1,1.29
F055,1,CLE,ORD,940,1019,D1 15:40,D1 16:59,79,B737,NB,1,1.26
F056,1,JFK,PHL,949,1016,D1 15:49,D1 16:56,67,A320,NB,3,1.07
F057,1,MSP,ORD,981,1054,D1 16:21,D1 17:34,73,E175,RJ,3,1.2
F058,1,PHX,DFW,993,1172,D1 16:33,D1 19:32,179,A320,NB,2,1.03
F059,1,AUS,DFW,1004,1061,D1 16:44,D1 17:41,57,E175,RJ,2,1.36
F060,1,HOU,DFW,1011,1056,D1 16:51,D1 17:36,45,A320,NB,2,0.84
F061,1,MIA,ATL,1015,1074,D1 16:55,D1 17:54,59,B737,NB,2,1.22
F062,1,MCI,ORD,1019,1081,D1 16:59,D1 18:01,62,A320,NB,2,1.41
F063,1,DEN,DFW,1085,1263,D1 18:05,D1 21:03,178,B737,NB,3,0.68
F064,2,DFW,DEN,1783,1973,D2 05:43,D2 08:53,190,B737,NB,3,1.23
F065,2,ORD,DEN,1788,2007,D2 05:48,D2 09:27,219,B737,NB,3,0.88
F066,2,ORD,CLE,1798,1846,D2 05:58,D2 06:46,48,B737,NB,3,0.88
F067,2,ATL,SAV,1800,1865,D2 06:00,D2 07:05,65,A320,NB,1,1.73
F068,2,DFW,IAH,1801,1852,D2 06:01,D2 06:52,51,E175,RJ,2,1.57
F069,2,ORD,STL,1823,1868,D2 06:23,D2 07:08,45,A320,NB,1,0.71
F070,2,ORD,CMH,1841,1887,D2 06:41,D2 07:27,46,B737,NB,2,1.71
F071,2,DFW,MCI,1844,1948,D2 06:44,D2 08:28,104,A320,NB,3,0.76
F072,2,DFW,LAS,1871,2073,D2 07:11,D2 10:33,202,A320,NB,2,1.52
F073,2,JFK,BOS,1874,1961,D2 07:14,D2 08:41,87,A320,NB,2,0.9
F074,2,IAH,DFW,1900,1978,D2 07:40,D2 08:58,78,E175,RJ,2,1.57
F075,2,JFK,CLT,1904,2003,D2 07:44,D2 09:23,99,A320,NB,2,0.81
F076,2,ORD,DTW,1906,1977,D2 07:46,D2 08:57,71,B737,NB,1,1.42
F077,2,PHL,JFK,1920,2005,D2 08:00,D2 09:25,85,A320,NB,2,1.07
F078,2,ATL,TPA,1928,2035,D2 08:08,D2 09:55,107,A320,NB,2,1.65
F079,2,ATL,FLL,1929,1990,D2 08:09,D2 09:10,61,B737,NB,2,1.28
F080,2,SAV,ATL,1932,2011,D2 08:12,D2 09:31,79,A320,NB,3,1.73
F081,2,ORD,MCI,1934,1979,D2 08:14,D2 08:59,45,A320,NB,2,1.73
F082,2,JFK,IAD,1943,1992,D2 08:23,D2 09:12,49,B737,NB,2,1.21
F083,2,CLE,ORD,1955,2008,D2 08:35,D2 09:28,53,B737,NB,2,0.88
F084,2,STL,ORD,1975,2050,D2 08:55,D2 10:10,75,A320,NB,2,0.71
F085,2,CMH,ORD,1981,2081,D2 09:01,D2 10:41,100,B737,NB,2,1.71
F086,2,MCI,DFW,2017,2181,D2 09:37,D2 12:21,164,A320,NB,2,0.76
F087,2,BOS,JFK,2029,2074,D2 09:49,D2 10:34,45,A320,NB,2,0.9
