base,overnight_region,day,preference_penalty
ATL,MW,1,91
ATL,MW,2,81
ATL,MW,3,31
ATL,NE,1,61
ATL,NE,2,84
ATL,NE,3,42
ATL,SE,1,79
ATL,SE,2,64
ATL,SE,3,67
ATL,TX,1,31
ATL,TX,2,71
ATL,TX,3,67
ATL,W,1,75
ATL,W,2,93
ATL,W,3,53
DFW,MW,1,67
DFW,MW,2,79
DFW,MW,3,85
DFW,NE,1,86
DFW,NE,2,51
DFW,NE,3,104
DFW,SE,1,25
DFW,SE,2,64
DFW,SE,3,73
DFW,TX,1,4
DFW,TX,2,36
DFW,TX,3,47
DFW,W,1,73
DFW,W,2,34
DFW,W,3,47
ORD,MW,1,19
ORD,MW,2,51
ORD,MW,3,26
ORD,NE,1,70
ORD,NE,2,83
ORD,NE,3,88
ORD,SE,1,39
ORD,SE,2,97
ORD,SE,3,38
ORD,TX,1,26
ORD,TX,2,28
ORD,TX,3,41
ORD,W,1,94
ORD,W,2,41
ORD,W,3,80
JFK,MW,1,58
JFK,MW,2,28
JFK,MW,3,60
JFK,NE,1,2
JFK,NE,2,38
JFK,NE,3,44
JFK,SE,1,66
JFK,SE,2,47
JFK,SE,3,86
JFK,TX,1,72
JFK,TX,2,45
JFK,TX,3,59
JFK,W,1,33
JFK,W,2,98
JFK,W,3,85
