flight_id,times_covered
F001,1
F002,1
F003,1
F004,1
F005,1
F006,1
F007,1
F008,1
F009,1
F010,1
F011,1
F012,1
F013,1
F014,1
F015,1
F016,1
F017,1
F018,1
F019,1
F020,1
F021,1
F022,1
F023,1
F024,1
F025,1
F026,1
F027,1
F028,1
F029,1
F030,1
F031,1
F032,1
F033,1
F034,1
F035,1
F036,1
F037,1
F038,1
F039,1
F040,1
F041,1
F042,1
F043,1
F044,1
F045,1
F046,1
F047,1
F048,1
F049,1
F050,1
F051,1
F052,1
F053,1
F054,1
F055,1
F056,1
F057,1
F058,1
F059,1
F060,1
F061,1
F062,1
F063,1
F064,1
F065,1
F066,1
F067,1
F068,1
F069,1
F070,1
F071,1
F072,1
F073,1
F074,1
F075,1
F076,1
F077,1
F078,1
F079,1
F080,1
F081,1
F082,1
F083,1
F084,1
F085,1
F086,1
F087,1
F088,1
F089,1
F090,1
F091,1
F092,1
F093,1
F094,1
F095,1
F096,1
F097,1
F098,1
F099,1
F100,1
