pairing_id,flight_id,leg_position,day,origin,destination,departure_min,arrival_min,departure_time,arrival_time,block_min,equipment,qual_required,priority,demand_weight
P00705,F089,1,2,ORD,MSP,2051,2109,D2 10:11,D2 11:09,58,A320,NB,2,1.27
P00801,F001,1,1,ATL,CLT,341,424,D1 05:41,D1 07:04,83,A320,NB,3,1.22
P00801,F013,2,1,CLT,ATL,524,632,D1 08:44,D1 10:32,108,A320,NB,3,1.22
P00807,F003,1,1,ATL,RDU,401,470,D1 06:41,D1 07:50,69,A320,NB,2,0.83
P00807,F014,2,1,RDU,ATL,530,601,D1 08:50,D1 10:01,71,A320,NB,3,0.83
P00809,F004,1,1,ATL,MCO,405,520,D1 06:45,D1 08:40,115,E175,RJ,3,1.05
P00809,F017,2,1,MCO,ATL,570,662,D1 09:30,D1 11:02,92,E175,RJ,2,1.05
P00811,F010,1,1,ATL,BNA,484,558,D1 08:04,D1 09:18,74,B737,NB,3,1.64
P00811,F032,2,1,BNA,ATL,654,721,D1 10:54,D1 12:01,67,B737,NB,2,1.64
P00813,F012,1,1,ATL,FLL,504,556,D1 08:24,D1 09:16,52,A320,NB,2,1.31
P00813,F031,2,1,FLL,ATL,634,697,D1 10:34,D1 11:37,63,A320,NB,2,1.31
P00817,F021,1,1,ATL,TPA,588,688,D1 09:48,D1 11:28,100,B737,NB,3,0.87
P00817,F038,2,1,TPA,ATL,745,803,D1 12:25,D1 13:23,58,B737,NB,2,0.87
P00821,F026,1,1,ATL,SAV,607,723,D1 10:07,D1 12:03,116,E175,RJ,1,1.17
P00821,F043,2,1,SAV,ATL,771,873,D1 12:51,D1 14:33,102,E175,RJ,3,1.17
P00824,F052,1,1,ATL,MIA,852,910,D1 14:12,D1 15:10,58,B737,NB,2,1.22
P00824,F061,2,1,MIA,ATL,1015,1074,D1 16:55,D1 17:54,59,B737,NB,2,1.22
P00826,F067,1,2,ATL,SAV,1800,1865,D2 06:00,D2 07:05,65,A320,NB,1,1.73
P00826,F080,2,2,SAV,ATL,1932,2011,D2 08:12,D2 09:31,79,A320,NB,3,1.73
P00828,F078,1,2,ATL,TPA,1928,2035,D2 08:08,D2 09:55,107,A320,NB,2,1.65
P00828,F095,2,2,TPA,ATL,2084,2146,D2 10:44,D2 11:46,62,A320,NB,3,1.65
P00830,F079,1,2,ATL,FLL,1929,1990,D2 08:09,D2 09:10,61,B737,NB,2,1.28
P00830,F096,2,2,FLL,ATL,2096,2143,D2 10:56,D2 11:43,47,B737,NB,1,1.28
P00832,F009,1,1,DFW,MCI,439,574,D1 07:19,D1 09:34,135,A320,NB,1,1.17
P00832,F030,2,1,MCI,DFW,630,745,D1 10:30,D1 12:25,115,A320,NB,2,1.17
P00838,F022,1,1,DFW,LAS,595,747,D1 09:55,D1 12:27,152,A320,NB,1,0.93
P00838,F045,2,1,LAS,DFW,817,1006,D1 13:37,D1 16:46,189,A320,NB,2,0.93
P00842,F023,1,1,DFW,IAH,600,645,D1 10:00,D1 10:45,45,A320,NB,3,1.35
P00842,F034,2,1,IAH,DFW,728,789,D1 12:08,D1 13:09,61,A320,NB,3,1.35
P00845,F028,1,1,DFW,SAT,615,661,D1 10:15,D1 11:01,46,B737,NB,2,1.57
P00845,F039,2,1,SAT,DFW,749,794,D1 12:29,D1 13:14,45,B737,NB,3,1.57
P00847,F036,1,1,DFW,PHX,733,935,D1 12:13,D1 15:35,202,A320,NB,2,1.03
P00847,F058,2,1,PHX,DFW,993,1172,D1 16:33,D1 19:32,179,A320,NB,2,1.03
P00849,F049,1,1,DFW,DEN,831,1020,D1 13:51,D1 17:00,189,B737,NB,2,0.68
P00849,F063,2,1,DEN,DFW,1085,1263,D1 18:05,D1 21:03,178,B737,NB,3,0.68
P00855,F051,1,1,DFW,AUS,849,901,D1 14:09,D1 15:01,52,E175,RJ,2,1.36
P00855,F059,2,1,AUS,DFW,1004,1061,D1 16:44,D1 17:41,57,E175,RJ,2,1.36
P00857,F053,1,1,DFW,HOU,852,949,D1 14:12,D1 15:49,97,A320,NB,2,0.84
P00857,F060,2,1,HOU,DFW,1011,1056,D1 16:51,D1 17:36,45,A320,NB,2,0.84
P00859,F064,1,2,DFW,DEN,1783,1973,D2 05:43,D2 08:53,190,B737,NB,3,1.23
P00859,F092,2,2,DEN,DFW,2068,2256,D2 10:28,D2 13:36,188,B737,NB,2,1.23
P00865,F071,1,2,DFW,MCI,1844,1948,D2 06:44,D2 08:28,104,A320,NB,3,0.76
P00865,F086,2,2,MCI,DFW,2017,2181,D2 09:37,D2 12:21,164,A320,NB,2,0.76
P00869,F072,1,2,DFW,LAS,1871,2073,D2 07:11,D2 10:33,202,A320,NB,2,1.52
P00869,F098,2,2,LAS,DFW,2139,2315,D2 11:39,D2 14:35,176,A320,NB,2,1.52
P00871,F006,1,1,ORD,PIT,418,486,D1 06:58,D1 08:06,68,A320,NB,2,1.27
P00871,F019,2,1,PIT,ORD,584,649,D1 09:44,D1 10:49,65,A320,NB,2,1.27
P00873,F007,1,1,ORD,DTW,428,473,D1 07:08,D1 07:53,45,E175,RJ,2,1.55
P00873,F018,2,1,DTW,ORD,582,647,D1 09:42,D1 10:47,65,E175,RJ,1,1.55
P00876,F011,1,1,ORD,DEN,503,707,D1 08:23,D1 11:47,204,B737,NB,2,1.12
P00876,F042,2,1,DEN,ORD,769,996,D1 12:49,D1 16:36,227,B737,NB,3,1.12
P00882,F027,1,1,ORD,CMH,612,695,D1 10:12,D1 11:35,83,E175,RJ,3,1.65
P00882,F041,2,1,CMH,ORD,754,799,D1 12:34,D1 13:19,45,E175,RJ,2,1.65
P00885,F033,1,1,ORD,STL,710,766,D1 11:50,D1 12:46,56,A320,NB,2,1.6
P00885,F047,2,1,STL,ORD,823,882,D1 13:43,D1 14:42,59,A320,NB,2,1.6
P00889,F046,1,1,ORD,CLE,820,865,D1 13:40,D1 14:25,45,B737,NB,3,1.26
P00889,F055,2,1,CLE,ORD,940,1019,D1 15:40,D1 16:59,79,B737,NB,1,1.26
P00893,F048,1,1,ORD,MCI,827,911,D1 13:47,D1 15:11,84,A320,NB,3,1.41
P00893,F062,2,1,MCI,ORD,1019,1081,D1 16:59,D1 18:01,62,A320,NB,2,1.41
P00899,F050,1,1,ORD,MSP,833,878,D1 13:53,D1 14:38,45,E175,RJ,2,1.2
P00899,F057,2,1,MSP,ORD,981,1054,D1 16:21,D1 17:34,73,E175,RJ,3,1.2
P00903,F065,1,2,ORD,DEN,1788,2007,D2 05:48,D2 09:27,219,B737,NB,3,0.88
P00903,F094,2,2,DEN,ORD,2073,2290,D2 10:33,D2 14:10,217,B737,NB,2,0.88
P00905,F066,1,2,ORD,CLE,1798,1846,D2 05:58,D2 06:46,48,B737,NB,3,0.88
P00905,F083,2,2,CLE,ORD,1955,2008,D2 08:35,D2 09:28,53,B737,NB,2,0.88
P00907,F069,1,2,ORD,STL,1823,1868,D2 06:23,D2 07:08,45,A320,NB,1,0.71
P00907,F084,2,2,STL,ORD,1975,2050,D2 08:55,D2 10:10,75,A320,NB,2,0.71
P00909,F070,1,2,ORD,CMH,1841,1887,D2 06:41,D2 07:27,46,B737,NB,2,1.71
P00909,F085,2,2,CMH,ORD,1981,2081,D2 09:01,D2 10:41,100,B737,NB,2,1.71
P00911,F076,1,2,ORD,DTW,1906,1977,D2 07:46,D2 08:57,71,B737,NB,1,1.42
P00911,F091,2,2,DTW,ORD,2062,2110,D2 10:22,D2 11:10,48,B737,NB,2,1.42
P00913,F081,1,2,ORD,MCI,1934,1979,D2 08:14,D2 08:59,45,A320,NB,2,1.73
P00913,F093,2,2,MCI,ORD,2070,2134,D2 10:30,D2 11:34,64,A320,NB,2,1.73
P00915,F002,1,1,JFK,FLL,367,444,D1 06:07,D1 07:24,77,A320,NB,2,1.64
P00915,F016,2,1,FLL,JFK,544,692,D1 09:04,D1 11:32,148,A320,NB,2,1.64
P00921,F005,1,1,JFK,DCA,408,460,D1 06:48,D1 07:40,52,E175,RJ,2,1.37
P00921,F015,2,1,DCA,JFK,541,586,D1 09:01,D1 09:46,45,E175,RJ,3,1.37
P00925,F008,1,1,JFK,CLT,428,543,D1 07:08,D1 09:03,115,A320,NB,2,1.73
P00925,F025,2,1,CLT,JFK,605,724,D1 10:05,D1 12:04,119,A320,NB,2,1.73
P00929,F020,1,1,JFK,IAD,587,662,D1 09:47,D1 11:02,75,A320,NB,3,1.48
P00929,F035,2,1,IAD,JFK,733,807,D1 12:13,D1 13:27,74,A320,NB,1,1.48
P00933,F024,1,1,JFK,RDU,601,695,D1 10:01,D1 11:35,94,A320,NB,3,1.56
P00933,F040,2,1,RDU,JFK,751,895,D1 12:31,D1 14:55,144,A320,NB,3,1.56
P00935,F029,1,1,JFK,MIA,618,743,D1 10:18,D1 12:23,125,B737,NB,2,1.54
P00935,F044,2,1,MIA,JFK,804,934,D1 13:24,D1 15:34,130,B737,NB,3,1.54
P00937,F037,1,1,JFK,BOS,734,803,D1 12:14,D1 13:23,69,A320,NB,3,1.29
P00937,F054,2,1,BOS,JFK,895,942,D1 14:55,D1 15:42,47,A320,NB,1,1.29
P00941,F056,1,1,JFK,PHL,949,1016,D1 15:49,D1 16:56,67,A320,NB,3,1.07
P00941,F077,2,2,PHL,JFK,1920,2005,D2 08:00,D2 09:25,85,A320,NB,2,1.07
P00943,F073,1,2,JFK,BOS,1874,1961,D2 07:14,D2 08:41,87,A320,NB,2,0.9
P00943,F087,2,2,BOS,JFK,2029,2074,D2 09:49,D2 10:34,45,A320,NB,2,0.9
P00945,F075,1,2,JFK,CLT,1904,2003,D2 07:44,D2 09:23,99,A320,NB,2,0.81
P00945,F097,2,2,CLT,JFK,2097,2210,D2 10:57,D2 12:50,113,A320,NB,2,0.81
P00947,F082,1,2,JFK,IAD,1943,1992,D2 08:23,D2 09:12,49,B737,NB,2,1.21
P00947,F090,2,2,IAD,JFK,2054,2131,D2 10:14,D2 11:31,77,B737,NB,2,1.21
P00949,F088,1,2,JFK,DCA,2043,2097,D2 10:03,D2 10:57,54,E175,RJ,3,1.78
P00949,F100,2,2,DCA,JFK,2156,2241,D2 11:56,D2 13:21,85,E175,RJ,3,1.78
P00969,F068,1,2,DFW,IAH,1801,1852,D2 06:01,D2 06:52,51,E175,RJ,2,1.57
P00969,F074,2,2,IAH,DFW,1900,1978,D2 07:40,D2 08:58,78,E175,RJ,2,1.57
P00969,F099,3,2,DFW,AUS,2151,2196,D2 11:51,D2 12:36,45,A320,NB,3,1.24
