base,qualification_pool,start_day,end_day,num_legs,duty_min,block_min,deadhead_min,overnight_station,hotel_nights,hotel_key,hotel_day,preference_penalty,expected_delay_risk,cost,risk_S0_nominal,risk_S1_weather_NE,risk_S2_weather_SE,risk_S3_ATC_MW,risk_S4_west_coast,pairing_id,pairing_type
ATL,NB,1,1,2,268,115,0,,0,,0,0,2.73,769.09,0.0,0.0,21.0,0.0,0.0,P00813,round_trip
ATL,NB,1,1,2,297,117,0,,0,,0,0,0.39,791.82,0.0,0.0,3.0,0.0,0.0,P00824,round_trip
ATL,NB,1,1,2,275,140,0,,0,,0,0,3.75,833.75,0.0,0.0,24.0,7.0,0.0,P00807,round_trip
ATL,NB,1,1,2,312,141,0,,0,,0,0,0.0,847.05,0.0,0.0,0.0,0.0,0.0,P00811,round_trip
ATL,NB,1,1,2,290,158,0,,0,,0,0,5.31,916.58,1.0,0.0,35.0,0.0,3.0,P00817,round_trip
ATL,NB,1,1,2,366,191,0,,0,,0,0,0.26,1030.33,0.0,0.0,2.0,0.0,0.0,P00801,round_trip
ATL,RJ,1,1,2,332,207,0,,0,,0,0,9.05,1135.45,0.0,10.0,49.0,5.0,9.0,P00809,round_trip
ATL,RJ,1,1,2,341,218,0,,0,,0,0,20.15,1368.35,17.0,18.0,55.0,0.0,11.0,P00821,round_trip
DFW,NB,1,1,2,254,91,0,,0,,0,0,0.0,659.85,0.0,0.0,0.0,0.0,0.0,P00845,round_trip
DFW,NB,1,1,2,264,106,0,,0,,0,0,0.0,700.1,0.0,0.0,0.0,0.0,0.0,P00842,round_trip
DFW,RJ,1,1,2,287,109,0,,0,,0,0,0.0,753.3,0.0,0.0,0.0,0.0,0.0,P00855,round_trip
DFW,NB,1,1,2,279,142,0,,0,,0,0,2.47,821.81,0.0,0.0,19.0,0.0,0.0,P00857,round_trip
DFW,NB,1,1,2,381,250,0,,0,,0,0,5.95,1238.75,0.0,3.0,13.0,42.0,0.0,P00832,round_trip
DFW,NB,1,1,2,486,341,0,,0,,0,0,4.73,1556.29,0.0,0.0,10.0,0.0,49.0,P00838,round_trip
DFW,NB,1,1,2,514,381,0,,0,,0,0,5.93,1688.09,0.0,0.0,23.0,0.0,42.0,P00847,round_trip
DFW,NB,1,1,2,507,367,0,,0,,0,0,8.41,1700.18,8.0,1.0,0.0,0.0,55.0,P00849,round_trip
JFK,RJ,1,1,2,253,97,0,,0,,0,0,3.13,721.54,0.0,19.0,0.0,1.0,0.0,P00921,round_trip
JFK,NB,1,1,2,283,116,0,,0,,0,0,1.6,782.25,0.0,10.0,0.0,0.0,0.0,P00937,round_trip
JFK,NB,1,2,2,302,152,0,,0,,1,0,0.0,839.3,0.0,0.0,0.0,0.0,0.0,P00941,overnight
JFK,NB,1,1,2,295,149,0,,0,,0,0,5.12,912.66,0.0,32.0,0.0,0.0,0.0,P00929,round_trip
JFK,NB,1,1,2,371,234,0,,0,,0,0,2.34,1132.27,0.0,0.0,18.0,0.0,0.0,P00925,round_trip
JFK,NB,1,1,2,400,225,0,,0,,0,0,2.99,1195.07,0.0,0.0,23.0,0.0,0.0,P00915,round_trip
JFK,NB,1,1,2,391,255,0,,0,,0,0,5.33,1255.34,0.0,0.0,41.0,0.0,0.0,P00935,round_trip
JFK,NB,1,1,2,369,238,0,,0,,0,0,9.18,1256.09,0.0,7.0,62.0,0.0,0.0,P00933,round_trip
ORD,RJ,1,1,2,294,110,0,,0,,0,0,0.0,769.6,0.0,0.0,0.0,0.0,0.0,P00873,round_trip
ORD,RJ,1,1,2,262,128,0,,0,,0,0,2.84,774.42,0.0,0.0,0.0,30.0,2.0,P00882,round_trip
ORD,RJ,1,1,2,296,118,0,,0,,0,0,0.0,783.9,0.0,0.0,0.0,0.0,0.0,P00899,round_trip
ORD,NB,1,1,2,274,124,0,,0,,0,0,2.88,795.94,0.0,0.0,0.0,32.0,0.0,P00889,round_trip
ORD,NB,1,1,2,306,133,0,,0,,0,0,0.0,824.15,0.0,0.0,0.0,0.0,0.0,P00871,round_trip
ORD,NB,1,1,2,329,146,0,,0,,0,0,0.0,889.85,0.0,0.0,0.0,0.0,0.0,P00893,round_trip
ORD,NB,1,1,2,247,115,0,,0,,0,0,12.22,894.76,13.0,0.0,3.0,52.0,0.0,P00885,round_trip
